,datos
0,-2.96
1,-2.96
2,-2.96
3,-2.96
4,-2.96
5,-2.96
6,-2.96
7,-2.96
8,-2.96
9,-2.96
10,-2.96
11,-2.96
12,-2.96
13,-2.96
14,-2.96
15,-2.96
16,-2.96
17,-2.96
18,-2.96
19,-2.96
20,-2.96
21,-2.96
22,-2.96
23,-2.96
24,-2.96
25,-2.96
26,-2.96
27,-2.96
28,-2.96
29,-2.96
30,-2.96
31,-2.96
32,-2.96
33,-2.96
34,-2.96
35,-2.96
36,-2.96
37,-2.96
38,-2.96
39,-2.96
40,-2.96
41,-2.96
42,-2.96
43,-2.96
44,-2.96
45,-2.96
46,-2.96
47,-2.96
48,-2.96
49,-2.96
50,-2.96
51,-2.96
52,-2.96
53,-2.96
54,-2.96
55,-2.96
56,-2.96
57,-2.96
58,-2.96
59,-2.96
60,-2.96
61,-2.96
62,-2.96
63,-2.96
64,-2.96
65,-2.96
66,-2.96
67,-2.96
68,-2.96
69,-2.96
70,-2.96
71,-2.96
72,-2.96
73,-2.96
74,-2.96
75,-2.96
76,-2.96
77,-2.96
78,-2.96
79,-2.96
80,-2.96
81,-2.96
82,-2.96
83,-2.96
84,-2.96
85,-2.96
86,-2.96
87,-2.96
88,-2.96
89,-2.96
90,-2.96
91,-2.96
92,-2.96
93,-2.96
94,-2.96
95,-2.96
96,-2.96
97,-2.96
98,-2.96
99,-2.96
100,-2.96
101,-2.96
102,-2.96
103,-2.96
104,-2.96
105,-2.96
106,-2.96
107,-2.96
108,-2.96
109,-2.96
110,-2.96
111,-2.96
112,-2.96
113,-2.96
114,-2.96
115,-2.96
116,-2.96
117,-2.96
118,-2.96
119,-2.96
120,-2.96
121,-2.96
122,-2.96
123,-2.96
124,-2.96
125,-2.96
126,-2.96
127,-2.96
128,-2.96
129,-2.96
130,-2.96
131,-2.96
132,-2.96
133,-2.96
134,-2.96
135,-2.96
136,-2.96
137,-2.96
138,-2.96
139,-2.96
140,-2.96
141,-2.96
142,-2.96
143,-2.96
144,-2.96
145,-2.96
146,-2.96
147,-2.96
148,-2.96
149,-2.96
150,-2.96
151,-2.96
152,-2.96
153,-2.96
154,-2.96
155,-2.96
156,-2.96
157,-2.96
158,-2.96
159,-2.96
160,-2.96
161,-2.96
162,-2.96
163,-2.96
164,-2.96
165,-2.96
166,-2.96
167,-2.96
168,-2.96
169,-2.96
170,-2.96
171,-2.96
172,-2.96
173,-2.96
174,-2.96
175,-2.96
176,-2.96
177,-2.96
178,-2.96
179,-2.96
180,-2.96
181,-2.96
182,-2.96
183,-2.96
184,-2.96
185,-2.96
186,-2.96
187,-2.96
188,-2.96
189,-2.96
190,-2.96
191,-2.96
192,-2.96
193,-2.96
194,-2.96
195,-2.96
196,-2.96
197,-2.96
198,-2.96
199,-2.96
200,-2.96
201,-2.96
202,-2.96
203,-2.96
204,-2.96
205,-2.96
206,-2.96
207,-2.96
208,-2.96
209,-2.96
210,-2.96
211,-2.96
212,-2.96
213,-2.96
214,-2.96
215,-2.96
216,-2.96
217,-2.96
218,-2.96
219,-2.96
220,-2.96
221,-2.96
222,-2.96
223,-2.96
224,-2.96
225,-2.96
226,-2.96
227,-2.96
228,-2.96
229,-2.96
230,-2.96
231,-2.96
